#Contract;ISIN;Coupon;Maturity;ConvFac
CONF 2026-06-08;CH0557778310;0.25;23.06.2035;0.608903
CONF 2026-06-08;CH0127181193;1.25;27.06.2037;0.625373
CONF 2026-06-08;CH0024524966;2.5;08.03.2036;0.748624
CONF 2026-06-08;CH0440081567;1.5;26.10.2038;0.61546
CONF 2026-06-08;CH0440081393;0.0;26.06.2034;0.627412
CONF 2026-09-08;CH0024524966;2.5;08.03.2036;1.134134
CONF 2026-09-08;CH0557778310;0.25;23.06.2035;0.937461
CONF 2026-09-08;CH0440081567;1.5;26.10.2038;1.056637
CONF 2026-09-08;CH0127181193;1.25;27.06.2037;1.025349
CONF 2026-09-08;CH0440081401;0.0;24.07.2039;0.880121
FBEU 2026-06-08;EU000A3K4ES4;3.0;04.12.2034;0.804748
FBEU 2026-06-08;EU000A4D8KD2;3.375;12.12.2035;0.813674
FBEU 2026-06-08;EU000A3K4D41;3.25;04.07.2034;0.828072
FBEU 2026-09-08;EU000A3K4ES4;3.0;04.12.2034;0.809321
FBEU 2026-09-08;EU000A4D8KD2;3.375;12.12.2035;0.817452
FBEU 2026-12-08;EU000A4D8KD2;3.375;12.12.2035;0.821368
FBEU 2026-12-08;EU000A3K4D74;3.375;04.10.2038;0.782116
FBON 2026-06-08;ES0000012P33;3.2;31.10.2035;0.803096
FBON 2026-06-08;ES0000012O67;3.15;30.04.2035;0.807907
FBON 2026-06-08;ES0000012Q08;3.3;30.04.2036;0.802833
FBON 2026-09-08;ES0000012P33;3.2;31.10.2035;0.8072
FBON 2026-09-08;ES0000012O67;3.15;30.04.2035;0.811973
FBON 2026-09-08;ES0000012Q08;3.3;30.04.2036;0.806448
FBON 2026-12-08;ES0000012P33;3.2;31.10.2035;0.811232
FBON 2026-12-08;ES0000012Q08;3.3;30.04.2036;0.810197
FBTM 2026-06-08;IT0005580094;3.5;15.02.2031;0.90225
FBTM 2026-06-08;IT0005671273;2.85;01.02.2031;0.876908
FBTM 2026-06-08;IT0005619546;3.15;15.11.2031;0.873011
FBTM 2026-06-08;IT0005595803;3.45;15.07.2031;0.892933
FBTM 2026-06-08;IT0005422891;0.9;01.04.2031;0.792811
FBTM 2026-06-08;IT0005449969;0.95;01.12.2031;0.770725
FBTM 2026-06-08;IT0005466013;0.95;01.06.2032;0.753207
FBTM 2026-06-08;IT0005436693;0.6;01.08.2031;0.767298
FBTM 2026-09-08;IT0005619546;3.15;15.11.2031;0.877979
FBTM 2026-09-08;IT0005449969;0.95;01.12.2031;0.779712
FBTM 2026-09-08;IT0005595803;3.45;15.07.2031;0.897489
FBTM 2026-09-08;IT0005647265;3.25;15.07.2032;0.869952
FBTM 2026-09-08;IT0005436693;0.6;01.08.2031;0.777163
FBTM 2026-09-08;IT0005422891;0.9;01.04.2031;0.802272
FBTM 2026-09-08;IT0005466013;0.95;01.06.2032;0.761936
FBTM 2026-12-08;IT0005595803;3.45;15.07.2031;0.90206
FBTM 2026-12-08;IT0005436693;0.6;01.08.2031;0.786968
FBTM 2026-12-08;IT0005449969;0.95;01.12.2031;0.788764
FBTM 2026-12-08;IT0005647265;3.25;15.07.2032;0.874614
FBTM 2026-12-08;IT0005619546;3.15;15.11.2031;0.883041
FBTM 2026-12-08;IT0005466013;0.95;01.06.2032;0.770729
FBTM 2026-12-08;IT0005494239;2.5;01.12.2032;0.830279
FBTM 2026-12-08;IT0005668220;3.25;15.11.2032;0.868375
FBTP 2026-06-08;IT0005676504;3.45;01.02.2036;0.820883
FBTP 2026-06-08;IT0005631590;3.65;01.08.2035;0.84187
FBTP 2026-06-08;IT0005358806;3.35;01.03.2035;0.827188
FBTP 2026-06-08;IT0005648149;3.6;01.10.2035;0.836166
FBTP 2026-06-08;IT0005402117;1.45;01.03.2036;0.673275
FBTP 2026-06-08;IT0005433195;0.95;01.03.2037;0.609841
FBTP 2026-06-08;IT0005607970;3.85;01.02.2035;0.861891
FBTP 2026-09-08;IT0005631590;3.65;01.08.2035;0.845212
FBTP 2026-09-08;IT0005676504;3.45;01.02.2036;0.824415
FBTP 2026-09-08;IT0005402117;1.45;01.03.2036;0.679587
FBTP 2026-09-08;IT0005648149;3.6;01.10.2035;0.839556
FBTP 2026-09-08;IT0005433195;0.95;01.03.2037;0.616457
FBTP 2026-12-08;IT0005402117;1.45;01.03.2036;0.685975
FBTP 2026-12-08;IT0005676504;3.45;01.02.2036;0.827903
FBTP 2026-12-08;IT0005648149;3.6;01.10.2035;0.842901
FBTP 2026-12-08;IT0005631590;3.65;01.08.2035;0.848511
FBTP 2026-12-08;IT0005433195;0.95;01.03.2037;0.623169
